Tid ;FT0010 Flow : (M³/t);;;
19-04-2018 06:41;66;;;
19-04-2018 06:41;66;;;
19-04-2018 06:41;66;;;
19-04-2018 06:41;66;;;
19-04-2018 06:42;66;;;
19-04-2018 06:42;66;;;
19-04-2018 06:42;66;;;
19-04-2018 06:42;66;;;
19-04-2018 06:42;66;;;
19-04-2018 06:42;66;;;
19-04-2018 06:42;66;;;
19-04-2018 06:42;66;;;
19-04-2018 06:42;66;;;
19-04-2018 06:42;66;;;
19-04-2018 06:42;66;;;
19-04-2018 06:42;66;;;
19-04-2018 06:43;66;;;
19-04-2018 06:43;66;;;
19-04-2018 06:43;66;;;
19-04-2018 06:43;66;;;
19-04-2018 06:43;66;;;
19-04-2018 06:43;66;;;
19-04-2018 06:43;66;;;
19-04-2018 06:43;66;;;
19-04-2018 06:43;66;;;
19-04-2018 06:43;66;;;
19-04-2018 06:43;66;;;
19-04-2018 06:43;66;;;
19-04-2018 06:44;66;;;
19-04-2018 06:44;66;;;
19-04-2018 06:44;66;;;
19-04-2018 06:44;66;;;
19-04-2018 06:44;66;;;
19-04-2018 06:44;66;;;
19-04-2018 06:44;66;;;
19-04-2018 06:44;66;;;
19-04-2018 06:44;66;;;
19-04-2018 06:44;66;;;
19-04-2018 06:44;66;;;
19-04-2018 06:44;66;;;
19-04-2018 06:45;66;;;
19-04-2018 06:45;66;;;
19-04-2018 06:45;66;;;
19-04-2018 06:45;66;;;
19-04-2018 06:45;66;;;
19-04-2018 06:45;66;;;
19-04-2018 06:45;66;;;
19-04-2018 06:45;66;;;
19-04-2018 06:45;66;;;
19-04-2018 06:45;66;;;
19-04-2018 06:45;66;;;
19-04-2018 06:45;66;;;
19-04-2018 06:46;66;;;
19-04-2018 06:46;66;;;
19-04-2018 06:46;66;;;
19-04-2018 06:46;66;;;
19-04-2018 06:46;66;;;
19-04-2018 06:46;66;;;
19-04-2018 06:46;66;;;
19-04-2018 06:46;66;;;
19-04-2018 06:46;66;;;
19-04-2018 06:46;66;;;
19-04-2018 06:46;66;;;
19-04-2018 06:46;66;;;
19-04-2018 06:47;66;;;
19-04-2018 06:47;66;;;
19-04-2018 06:47;66;;;
19-04-2018 06:47;66;;;
19-04-2018 06:47;66;;;
19-04-2018 06:47;66;;;
19-04-2018 06:47;66;;;
19-04-2018 06:47;66;;;
19-04-2018 06:47;66;;;
19-04-2018 06:47;66;;;
19-04-2018 06:47;66;;;
19-04-2018 06:47;66;;;
19-04-2018 06:48;66;;;
19-04-2018 06:48;66;;;
19-04-2018 06:48;66;;;
19-04-2018 06:48;66;;;
